condition,metric,value,numerator,denominator,notes
full_skillops_memory_policy,stale_info_usage_rate,0.000000,0,22,
full_skillops_memory_policy,current_instruction_adherence_rate,1.000000,22,22,
full_skillops_memory_policy,correct_forgetting_rate,1.000000,22,22,
full_skillops_memory_policy,conflict_resolution_success_rate,1.000000,22,22,
full_skillops_memory_policy,unsupported_memory_claim_rate,0.000000,0,22,
no_forgetting_policy,stale_info_usage_rate,0.227273,5,22,
no_forgetting_policy,current_instruction_adherence_rate,1.000000,22,22,
no_forgetting_policy,correct_forgetting_rate,0.000000,0,22,
no_forgetting_policy,conflict_resolution_success_rate,0.045455,1,22,
no_forgetting_policy,unsupported_memory_claim_rate,0.000000,0,22,
current_context_only,stale_info_usage_rate,0.000000,0,22,
current_context_only,current_instruction_adherence_rate,1.000000,22,22,
current_context_only,correct_forgetting_rate,0.000000,0,22,
current_context_only,conflict_resolution_success_rate,0.000000,0,22,
current_context_only,unsupported_memory_claim_rate,0.000000,0,22,
